"","ID","Role"
"Bennet, Christopher, 1617-1655.","Bennet, Christopher, 1617-1655.","Author"
"Johnston, Andrew.","Johnston, Andrew.","Author"
"Moore, Mary, fl. 1650.","Moore, Mary, fl. 1650.","Author"
"More, John, of Barnelms.","More, John, of Barnelms.","Author"
"Godly-learned minister of the Gospel.","Godly-learned minister of the Gospel.","Author"
"Goddard, John, fl. 1645-1671, engraver.","Goddard, John, fl. 1645-1671, engraver.","engraver"
"K. R.","K. R.","Author"
"Batchiler, John, ca. 1615-1674.","Batchiler, John, ca. 1615-1674.","Author"
"Peters, Hugh, 1598-1660,","Peters, Hugh, 1598-1660,","Author"
"Marten, Henry, 1602-1680,","Marten, Henry, 1602-1680,","Author"
"Bracegirdle, Anne, ca. 1663-1748.","Bracegirdle, Anne, ca. 1663-1748.","Author"
"Murcot, John, 1625-1654.","Murcot, John, 1625-1654.","Author"
"Winter, Samuel, 1596?","Winter, Samuel, 1596?","Author"
"Chambers, Robert, minister in Dublin.","Chambers, Robert, minister in Dublin.","Author"
"Eaton, Samuel, 1506?","Eaton, Samuel, 1506?","Author"
"Price, John, Citizen of London, Attributed name.","Price, John, Citizen of London, Attributed name.","Author"
"Mussell, Francis.","Mussell, Francis.","Author"
"I. M.","I. M.","Author"
"Martel, Margaret, d. 1697.","Martel, Margaret, d. 1697.","Author"
"[Mason, John, of Cambridge].","[Mason, John, of Cambridge].","Author"
"Mason, William, Anabaptist.","Mason, William, Anabaptist.","Author"
"Gentleman at Yorke.","Gentleman at Yorke.","Author"
"H. R.","H. R.","Author"
"Newton, William, One of the gentlemen ushers unto the Lady Elizabeth.","Newton, William, One of the gentlemen ushers unto the Lady Elizabeth.","Author"
"Nisbet, John, Scoto-Britannus.","Nisbet, John, Scoto-Britannus.","Author"
"Nolle, Heinrich, fl. 1612-1619.","Nolle, Heinrich, fl. 1612-1619.","Author"
"Vaughan, Henry, gent,","Vaughan, Henry, gent,","Author"
"Norris, James, fl.1682-1684","Norris, James, fl.1682-1684","Author"
"Harefinch, John, fl. 1682-1690, printer","Harefinch, John, fl. 1682-1690, printer","Author"
"Nutt, Thomas, 17th cent.","Nutt, Thomas, 17th cent.","Author"
"Philiatros.","Philiatros.","Author"
"Rolleston, John.","Rolleston, John.","Author"
"Odling, Edward.","Odling, Edward.","Author"
"Williamson, Peter, fl. 1660, engraver.","Williamson, Peter, fl. 1660, engraver.","engraver"
"Desborough, John, 1608-1680.","Desborough, John, 1608-1680.","Author"
"Utter-Barrister.","Utter-Barrister.","Author"
"Cottrel, James, fl. 1649-1670.","Cottrel, James, fl. 1649-1670.","Author"
"Herbert, William, Sir, 1507-1570.","Herbert, William, Sir, 1507-1570.","Author"
"Pagan, Blaise François de, comte de Merveilles, 1604-1665.","Pagan, Blaise François de, comte de Merveilles, 1604-1665.","Author"
"Hume, Anna.","Hume, Anna.","Author"
"Thorndike, Herbert, 1598-1672.","Thorndike, Herbert, 1598-1672.","Author"
"Palmer, George, b. 1596 or 7.","Palmer, George, b. 1596 or 7.","Author"
"Powel, Ri.","Powel, Ri.","Author"
"Hill, Thomas, Cornet.","Hill, Thomas, Cornet.","Author"
"Sands, T.","Sands, T.","Author"
"Poyntz, John, fl. 1647-1650.","Poyntz, John, fl. 1647-1650.","Author"
"Primatt, Josiah.","Primatt, Josiah.","Author"
"Langdale, Marmaduke, Sir, 1598?","Langdale, Marmaduke, Sir, 1598?","Author"
"Prowse, Anthony, b. 1597 or 8.","Prowse, Anthony, b. 1597 or 8.","Author"
"Prynne, William, 1600-1669,","Prynne, William, 1600-1669,","Author"
"Hunton, Philip, 1604?","Hunton, Philip, 1604?","Author"
"Puech, David.","Puech, David.","Author"
"Parker, Thomas.","Parker, Thomas.","Author"
"Corporation of London (England) Lord Mayor.","Corporation of London (England) Lord Mayor.","Author"
"Ayscough, Edward, Sir.","Ayscough, Edward, Sir.","Author"
"Rhodes, Simon.","Rhodes, Simon.","Author"
"Widdrington, Thomas, Sir, ca. 1660-1664.","Widdrington, Thomas, Sir, ca. 1660-1664.","Author"
"Rich, John, fl. 1661.","Rich, John, fl. 1661.","Author"
"Richards, Nathaniel, 1611-1660.","Richards, Nathaniel, 1611-1660.","Author"
"Richardson, Thomas, waggon-master-general.","Richardson, Thomas, waggon-master-general.","Author"
"Ridgley, Sam.","Ridgley, Sam.","Author"
"Rigge, Ambrose, 1635?","Rigge, Ambrose, 1635?","Author"
"Robeson, A. (Andrew)","Robeson, A. (Andrew)","Author"
"Robotham, Charles, 1625 or 6-1700.","Robotham, Charles, 1625 or 6-1700.","Author"
"Scroope, Carr, Sir, 1649-1680.","Scroope, Carr, Sir, 1649-1680.","Author"
"Waller, Edmund, 1606-1687, recipient.","Waller, Edmund, 1606-1687, recipient.","Author"
"Rofe, George, d. 1664.","Rofe, George, d. 1664.","Author"
"Rogers, Lewis.","Rogers, Lewis.","Author"
"Rone, Elizabeth.","Rone, Elizabeth.","Author"
"Rother, M. E.","Rother, M. E.","Author"
"Rothmann, Johann.","Rothmann, Johann.","Author"
"Lenthall, William, 1591-1662, recipient.","Lenthall, William, 1591-1662, recipient.","Author"
"Butler, Samuel, 1612-1680, supposed author.","Butler, Samuel, 1612-1680, supposed author.","Author"
"Griffin, Matthew, 1599?","Griffin, Matthew, 1599?","Author"
"Raue, Christian, 1613-1677.","Raue, Christian, 1613-1677.","Author"
"J. R. aut","J. R. aut","Author"
"H. C. aut","H. C. aut","Author"
"Raymond, John, Gent.","Raymond, John, Gent.","Author"
"Read, Robert, fl. 1653-1656.","Read, Robert, fl. 1653-1656.","Author"
"Rementería y Fica, Mariano de.","Rementería y Fica, Mariano de.","Author"
"Metham, Thomas, Sir, 1575 or 6-1664.","Metham, Thomas, Sir, 1575 or 6-1664.","Author"
"Scotland. Convention of Estates. aut","Scotland. Convention of Estates. aut","Author"
"Scudamore, Barnabas, Sir, d. 1658.","Scudamore, Barnabas, Sir, d. 1658.","Author"
"Grantham, Caleb.","Grantham, Caleb.","Author"
"Searson, Francis.","Searson, Francis.","Author"
"Mercurius, Hibernicus.","Mercurius, Hibernicus.","Author"
"Starbuck, William.","Starbuck, William.","Author"
"Shapcott, Robert.","Shapcott, Robert.","Author"
"Sharp, John, of Froome, Somersetshire.","Sharp, John, of Froome, Somersetshire.","Author"
"Williams, John, minister.","Williams, John, minister.","Author"
"Colluthus, of Lycopolis.","Colluthus, of Lycopolis.","Author"
"Sictor, Jan, 1593-1652.","Sictor, Jan, 1593-1652.","Author"
"Simmonds, Martha.","Simmonds, Martha.","Author"
"Salisbury, Robert Cecil, Earl of, 1563-1612.","Salisbury, Robert Cecil, Earl of, 1563-1612.","Author"
"Slade, John.","Slade, John.","Author"
"Slingsby, William, fl. 1653.","Slingsby, William, fl. 1653.","Author"
"Smith, George, 1602 or 3-1658.","Smith, George, 1602 or 3-1658.","Author"
"Smith, Humphrey, d. 1663.","Smith, Humphrey, d. 1663.","Author"
"Smith, John, of Badgworth.","Smith, John, of Badgworth.","Author"
"Carlile, Charles.","Carlile, Charles.","Author"
"Smith, John, writer on taxation.","Smith, John, writer on taxation.","Author"
"Smith, Richard, of Chester.","Smith, Richard, of Chester.","Author"
"Smith, William, fl. 1655.","Smith, William, fl. 1655.","Author"
"Snead, Richard, d. 1711.","Snead, Richard, d. 1711.","Author"
"Hungerford, George, Sir.","Hungerford, George, Sir.","Author"
"Citizen of Syon.","Citizen of Syon.","Author"
"Southaick, Cyprian.","Southaick, Cyprian.","Author"
"Saltmarsh, Mary.","Saltmarsh, Mary.","Author"
"Goodwin, Robert, 17th cent.","Goodwin, Robert, 17th cent.","Author"
"Kayes, Mr., d. 1644.","Kayes, Mr., d. 1644.","Author"
"Child, Josiah, Sir, 1631-1699.","Child, Josiah, Sir, 1631-1699.","Author"
"Stephens, Stephen.","Stephens, Stephen.","Author"
"Haslegrove, Anthony.","Haslegrove, Anthony.","Author"
"Turner, Samuel, D.D.","Turner, Samuel, D.D.","Author"
"Stokes, Edward, Esq.","Stokes, Edward, Esq.","Author"
"Stonehill, fl. 1671.","Stonehill, fl. 1671.","Author"
"Fosset, John.","Fosset, John.","Author"
"Stoyte, Edward, b. 1618 or 19.","Stoyte, Edward, b. 1618 or 19.","Author"
"Strange, Jacob.","Strange, Jacob.","Author"
"Robinson, Mr.","Robinson, Mr.","Author"
"Davie, John.","Davie, John.","Author"
"Person of quality now in Oxford.","Person of quality now in Oxford.","Author"
"Strickland, John, 1600 or 1601-1670.","Strickland, John, 1600 or 1601-1670.","Author"
"Lawes, Henry, 1569-1662.","Lawes, Henry, 1569-1662.","Author"
"Strong, Damaris.","Strong, Damaris.","Author"
"Syms, Christofer.","Syms, Christofer.","Author"
"Heron, Edward, Sir.","Heron, Edward, Sir.","Author"
"Sankey, William.","Sankey, William.","Author"
"Ward, Edward, 1667-1731, supposed author.","Ward, Edward, 1667-1731, supposed author.","Author"
"Schomberg, Friedrich Hermann Schomberg, Duke of, 1615-1690.","Schomberg, Friedrich Hermann Schomberg, Duke of, 1615-1690.","Author"
"Scoryer, Richard, 1648?","Scoryer, Richard, 1648?","Author"
"Thompson, William, d. 1649.","Thompson, William, d. 1649.","Author"
"Thorius, Raphael, d. 1625.","Thorius, Raphael, d. 1625.","Author"
"Kinschot, Louis van, 1595-1647.","Kinschot, Louis van, 1595-1647.","Author"
"Appletree, Mr.","Appletree, Mr.","Author"
"Powell, Vavasor, 1617-1670.","Powell, Vavasor, 1617-1670.","Author"
"Lisle, John, ca. 1610-1664.","Lisle, John, ca. 1610-1664.","Author"
"Tate, Zouch, 1605 or 6-1650.","Tate, Zouch, 1605 or 6-1650.","Author"
"Tilsley, John, 1614-1684.","Tilsley, John, 1614-1684.","Author"
"Throckmorton, William.","Throckmorton, William.","Author"
"Oxenbridge, Clement.","Oxenbridge, Clement.","Author"
"Osburn, James.","Osburn, James.","Author"
"Loftus of Ely, Adam Loftus, Viscount, 1568-1643.","Loftus of Ely, Adam Loftus, Viscount, 1568-1643.","Author"
"Tany, Thomas, fl. 1649-1655.","Tany, Thomas, fl. 1649-1655.","Author"
"Hawkins, George, fl. 1659.","Hawkins, George, fl. 1659.","Author"
"Hayes, John.","Hayes, John.","Author"
"Whalley, Edward, d. 1675?","Whalley, Edward, d. 1675?","Author"
"Goffe, William, 1605?","Goffe, William, 1605?","Author"
"Worsley, Charles, 1622-1656.","Worsley, Charles, 1622-1656.","Author"
"Tookey, Thomas, d. 1656.","Tookey, Thomas, d. 1656.","Author"
"Fox, Somerset.","Fox, Somerset.","Author"
"Newland, Francis.","Newland, Francis.","Author"
"Headley, John.","Headley, John.","Author"
"Aleyn, Thomas, Sir, fl. 1660.","Aleyn, Thomas, Sir, fl. 1660.","Author"
"Truelove, Richard.","Truelove, Richard.","Author"
"Truelove, Henry.","Truelove, Henry.","Author"
"Turner, William, 1651-1740.","Turner, William, 1651-1740.","Author"
"Tustin, John.","Tustin, John.","Author"
"Tutchin, Robert.","Tutchin, Robert.","Author"
"Th. Tw.","Th. Tw.","Author"
"Stone, Katherine, fl. 1654.","Stone, Katherine, fl. 1654.","Author"
"Foxley, Samuel.","Foxley, Samuel.","Author"
"St. Giles Cripplegate. Parish.","St. Giles Cripplegate. Parish.","Author"
"Corporation of London (England)","Corporation of London (England)","Author"
"Sparke, Michael, d. 1653,","Sparke, Michael, d. 1653,","Author"
"Owen, Hugh, 1575?","Owen, Hugh, 1575?","Author"
"Thomas, John, fl. 1680.","Thomas, John, fl. 1680.","Author"
"Thomas, William.","Thomas, William.","Author"
"Thompson, Isaac, engine-maker.","Thompson, Isaac, engine-maker.","Author"
"Vassall, Samuel, 1586-1667.","Vassall, Samuel, 1586-1667.","Author"
"Juvenal. Satura 10.","Juvenal. Satura 10.","Author"
"Vernon, Samuel.","Vernon, Samuel.","Author"
"Taylor, Daniel, ca. 1614-1655.","Taylor, Daniel, ca. 1614-1655.","Author"
"Harr, Jo.","Harr, Jo.","Author"
"Vliet, Jan Joris van der, b. ca. 1610.","Vliet, Jan Joris van der, b. ca. 1610.","Author"
"Weamys, Anna, b. ca. 1630.","Weamys, Anna, b. ca. 1630.","Author"
"Wedderburn, David, 1580-1646.","Wedderburn, David, 1580-1646.","Author"
"Wells, John, fl. 1675.","Wells, John, fl. 1675.","Author"
"Wells, Mary, fl. 1684.","Wells, Mary, fl. 1684.","Author"
"Wharton, George, Sir, 1596-1672.","Wharton, George, Sir, 1596-1672.","Author"
"Baker, Thomas, of the First-fruits office.","Baker, Thomas, of the First-fruits office.","Author"
"Herbert of Cherbury, Henry Herbert, Baron, d. 1691.","Herbert of Cherbury, Henry Herbert, Baron, d. 1691.","Author"
"D. W. (Dorothy White)","D. W. (Dorothy White)","Author"
"White, Thomas, fl. 1652.","White, Thomas, fl. 1652.","Author"
"Whitehead, Ann, 1624-1686.","Whitehead, Ann, 1624-1686.","Author"
"R. T. (Rebecca Travers), 1609-1688.","R. T. (Rebecca Travers), 1609-1688.","Author"
"Ellson, Mary, 1623 or 4-1707","Ellson, Mary, 1623 or 4-1707","Author"
"Waersegger, Abraham.","Waersegger, Abraham.","Author"
"Whitfield, Henry, 1597-1660?","Whitfield, Henry, 1597-1660?","Author"
"Mayhew, Thomas, fl. 1651.","Mayhew, Thomas, fl. 1651.","Author"
"Wagstaff, John, of Warwickshire.","Wagstaff, John, of Warwickshire.","Author"
"Leverich, William, d. 1677.","Leverich, William, d. 1677.","Author"
"Bessey, Anthony, 1609?","Bessey, Anthony, 1609?","Author"
"Endecott, John, 1588?","Endecott, John, 1588?","Author"
"French, William, 1603?","French, William, 1603?","Author"
"Allen, Thomas, 1608-1673.","Allen, Thomas, 1608-1673.","Author"
"Whitlock, Richard, b. 1615 or 16.","Whitlock, Richard, b. 1615 or 16.","Author"
"Wicker, Francis.","Wicker, Francis.","Author"
"Wild, John.","Wild, John.","Author"
"Watson, Joseph, Merchant in Dublin.","Watson, Joseph, Merchant in Dublin.","Author"
"Wilde, George, 1610-1665.","Wilde, George, 1610-1665.","Author"
"Wilkinson, Jonathan.","Wilkinson, Jonathan.","Author"
"Poyer, John, d. 1649.","Poyer, John, d. 1649.","Author"
"Williams, Alexander, fl. 1642.","Williams, Alexander, fl. 1642.","Author"
"Williams, Richard, b. 1606 or 7.","Williams, Richard, b. 1606 or 7.","Author"
"Wilson, John, of Breedon, Leicestershire.","Wilson, John, of Breedon, Leicestershire.","Author"
"Star, Thomas.","Star, Thomas.","Author"
"Hill, John, Mr.","Hill, John, Mr.","Author"
"Collins, Francis, Mr.","Collins, Francis, Mr.","Author"
"Peck, Mr.","Peck, Mr.","Author"
"Walker, George, of Lincoln's Inn.","Walker, George, of Lincoln's Inn.","Author"
"Worcester, Margaret Somerset, Countess of, d. 1681.","Worcester, Margaret Somerset, Countess of, d. 1681.","Author"
"Worgan, John, surveyor.","Worgan, John, surveyor.","Author"
"Woulfe, Philip.","Woulfe, Philip.","Author"
"Salthouse, Thomas, 1630-1691.","Salthouse, Thomas, 1630-1691.","Author"
"Wilkinson, Henry, 1610-1675,","Wilkinson, Henry, 1610-1675,","Author"
"Hardress, Waller, Sir, 1604?","Hardress, Waller, Sir, 1604?","Author"
"Lamplugh, Thomas, 1615-1691.","Lamplugh, Thomas, 1615-1691.","Author"
"Wills, T.","Wills, T.","Author"
"Walton, John, 1624-1677.","Walton, John, 1624-1677.","Author"
"Walwyn, William, 1600-1681.","Walwyn, William, 1600-1681.","Author"
"Sadler, John, 1615-1674,","Sadler, John, 1615-1674,","Author"
"Ward, John, d. 1665.","Ward, John, d. 1665.","Author"
"Gnatus.","Gnatus.","Author"
"P.W.","P.W.","Author"
"Warmstry, Thomas, 1610-1665.","Warmstry, Thomas, 1610-1665.","Author"
"Zachary, Thomas, d. 1686.","Zachary, Thomas, d. 1686.","Author"
"Nicholas, John.","Nicholas, John.","Author"
"Flower, Margaret, d. 1618.","Flower, Margaret, d. 1618.","Author"
"E. F. (Edward Ford), fl. 1630?","E. F. (Edward Ford), fl. 1630?","Author"
"Geminus, Thomas, d. 1562.","Geminus, Thomas, d. 1562.","Author"
"Guy, Robert, writer of ballads.","Guy, Robert, writer of ballads.","Author"
"[Guy, Robert, writer of ballads.]","[Guy, Robert, writer of ballads.]","Author"
"Halliarg, Arthur.","Halliarg, Arthur.","Author"
"Hamdultun, Valentine.","Hamdultun, Valentine.","Author"
"Osborne, M., fl. 1568.","Osborne, M., fl. 1568.","Author"
"Philips, John, fl. 1570-1591.","Philips, John, fl. 1570-1591.","Author"
"Pitts, John, fl. 1559-1577.","Pitts, John, fl. 1559-1577.","Author"
"Symon, John.","Symon, John.","Author"
"T. W. T.","T. W. T.","Author"
"Bruton, Edward, d. 1633.","Bruton, Edward, d. 1633.","Author"
"Riley, James, d. 1633.","Riley, James, d. 1633.","Author"
"Scot, John, the elder.","Scot, John, the elder.","Author"
"Torrington, Arthur Herbert, Earl of, 1647-1716.","Torrington, Arthur Herbert, Earl of, 1647-1716.","Author"
"Clement, of Alexandria, Saint, ca. 150-ca. 215.","Clement, of Alexandria, Saint, ca. 150-ca. 215.","Author"
"Hamilton, Alexander, of Kinkel, fl. 1695.","Hamilton, Alexander, of Kinkel, fl. 1695.","Author"
"Ayrshire (Scotland). Justices of the Peace.","Ayrshire (Scotland). Justices of the Peace.","Author"
"Faculty of Advocates (Scotland). Library.","Faculty of Advocates (Scotland). Library.","Author"
"Beckman, Martin, d. 1702.","Beckman, Martin, d. 1702.","Author"
"Biddlecomb, James.","Biddlecomb, James.","Author"
"Birket, Cuthbert.","Birket, Cuthbert.","Author"
"B.","B.","Author"
"Borthwick, Henry.","Borthwick, Henry.","Author"
"Friend to the Rump.","Friend to the Rump.","Author"
"Briscoe, William.","Briscoe, William.","Author"
"Brokeman, J.","Brokeman, J.","Author"
"Ball, William","Ball, William","Author"
"Portman, William, Sir.","Portman, William, Sir.","Author"
"Sandford, John, fl. 1689.","Sandford, John, fl. 1689.","Author"
"Macclesfield, Fitton Gerard, Earl of, 1664 or 5-1702.","Macclesfield, Fitton Gerard, Earl of, 1664 or 5-1702.","Author"
"Strode, William, Esq.","Strode, William, Esq.","Author"
"Speke, John.","Speke, John.","Author"
"Harbourd, William, Esq.","Harbourd, William, Esq.","Author"
"Guybon, Francis, 1673-1751.","Guybon, Francis, 1673-1751.","Author"
"Christy, Thomas.","Christy, Thomas.","Author"
"Coryton, William, Esq.","Coryton, William, Esq.","Author"
"Lenthall, William, b. 1654 or 5.","Lenthall, William, b. 1654 or 5.","Author"
"Webb, Edmund.","Webb, Edmund.","Author"
"Z. C.","Z. C.","Author"
"Charles, I, King of England, 1600-1649.","Charles, I, King of England, 1600-1649.","Author"
"Charles I, King of England, 1625-1649.","Charles I, King of England, 1625-1649.","Author"
"Charles II, King of England, 1630-0685.","Charles II, King of England, 1630-0685.","Author"
"Charles II, King of England, 1635-1685.","Charles II, King of England, 1635-1685.","Author"
"Unversity of Cambridge.","Unversity of Cambridge.","Author"
"Charnock, Stephen, 1628-1680.","Charnock, Stephen, 1628-1680.","Author"
"Chishull, John.","Chishull, John.","Author"
"Campbell, William, Sir.","Campbell, William, Sir.","Author"
"Ricci, Michelangelo, 1614-1682.","Ricci, Michelangelo, 1614-1682.","Author"
"Cook, William, fl. 1661.","Cook, William, fl. 1661.","Author"
"Abell, John, 1653?","Abell, John, 1653?","Author"
"Carney, D.","Carney, D.","Author"
"Corss, John.","Corss, John.","Author"
"Couch, John, of Horsmonden.","Couch, John, of Horsmonden.","Author"
"Crighton, John, fl. 1680.","Crighton, John, fl. 1680.","Author"
"Cuningham, David, Sir, fl. 1653","Cuningham, David, Sir, fl. 1653","Author"
"W. A.","W. A.","Author"
"Jones, John, b. 1644 or 5.","Jones, John, b. 1644 or 5.","Author"
"Beaw, William.","Beaw, William.","Author"
"Montgomeryshire (Wales). Bailiffs.","Montgomeryshire (Wales). Bailiffs.","Author"
"Fenton, Elizabeth, fl. 1680.","Fenton, Elizabeth, fl. 1680.","Author"
"Walwyn, Mary.","Walwyn, Mary.","Author"
"Trefusis, James, Gent.","Trefusis, James, Gent.","Author"
"Wynne, Mr.","Wynne, Mr.","Author"
"Capell, John.","Capell, John.","Author"
"Swaine, Robert.","Swaine, Robert.","Author"
"Price, John.","Price, John.","Author"
"Gee, Richard.","Gee, Richard.","Author"
"Balch, Robert.","Balch, Robert.","Author"
"Blackburne, Robert, prisoner in Newgate.","Blackburne, Robert, prisoner in Newgate.","Author"
"Weston, Robert, fl. 1689.","Weston, Robert, fl. 1689.","Author"
"Price, Roger, Esq.","Price, Roger, Esq.","Author"
"Porter, Charles, Sir, d. 1696.","Porter, Charles, Sir, d. 1696.","Author"
"Adderley, William, fl. 1690.","Adderley, William, fl. 1690.","Author"
"One of the company.","One of the company.","Author"
"Lover of ale.","Lover of ale.","Author"
"James II, King of England 1633-1701.","James II, King of England 1633-1701.","Author"
"Lindsey, Mrs. (Mary), fl. 1697-1715?","Lindsey, Mrs. (Mary), fl. 1697-1715?","Author"
"Dempster, George.","Dempster, George.","Author"
"Eccles, William, fl. 1700.","Eccles, William, fl. 1700.","Author"
"Edinburgh (Scotland). Commissioners of Supply of the sheriffdom of Edinburgh.","Edinburgh (Scotland). Commissioners of Supply of the sheriffdom of Edinburgh.","Author"
"Thomson, Robert, town-clerk.","Thomson, Robert, town-clerk.","Author"
"Commissioners of Supply for Edinburgh (Edinburgh, Scotland)","Commissioners of Supply for Edinburgh (Edinburgh, Scotland)","Author"
"McLeod, Æneas.","McLeod, Æneas.","Author"
"Home, George, Sir, of Kello.","Home, George, Sir, of Kello.","Author"
"Edinburgh (Scotland). City Council.","Edinburgh (Scotland). City Council.","Author"
"J. D. E.","J. D. E.","Author"
"Erskine, William, d. 1700.","Erskine, William, d. 1700.","Author"
"St. Ruth, Charles Chalmont, marquis de, d. 1691.","St. Ruth, Charles Chalmont, marquis de, d. 1691.","Author"
"A person of quality.","A person of quality.","Author"
"R. Philopolymathes.","R. Philopolymathes.","Author"
"Elford, Walter.","Elford, Walter.","Author"
"Elliott, George, poet.","Elliott, George, poet.","Author"
"Lusty gallant.","Lusty gallant.","Author"
"England. Curia Regis.","England. Curia Regis.","Author"
"Walker, Edward, Sir, 1612-1677.","Walker, Edward, Sir, 1612-1677.","Author"
"Oxford (England). Council.","Oxford (England). Council.","Author"
"Hacket, Ja., Major.","Hacket, Ja., Major.","Author"
"Hesselwood, Henry.","Hesselwood, Henry.","Author"
"Hawkins, Thomas, fl. 1695?","Hawkins, Thomas, fl. 1695?","Author"
"H., C.","H., C.","Author"
"Herault, Louis.","Herault, Louis.","Author"
"Higgs, Daniel.","Higgs, Daniel.","Author"
"Hamilton, Alexander, merchant.","Hamilton, Alexander, merchant.","Author"
"Hamilton, Basil, Lord.","Hamilton, Basil, Lord.","Author"
"Hall, John, Sir, fl. 1692.","Hall, John, Sir, fl. 1692.","Author"
"Knap, J. (John).","Knap, J. (John).","Author"
"Chiverton, Richard.","Chiverton, Richard.","Author"
"Frederick, John, Sir, fl. 1661-1662.","Frederick, John, Sir, fl. 1661-1662.","Author"
"Houghton, Thomas, Gent.","Houghton, Thomas, Gent.","Author"
"Henderson, Thomas, fl. 1649.","Henderson, Thomas, fl. 1649.","Author"
"Tom of Lincoln.","Tom of Lincoln.","Author"
"McCullough, Godfrey, Sir.","McCullough, Godfrey, Sir.","Author"
"Miller, Robert, M.D.","Miller, Robert, M.D.","Author"
"Murray, Mungo, 17th cent.","Murray, Mungo, 17th cent.","Author"
"Martin, Joseph, ballad writer.","Martin, Joseph, ballad writer.","Author"
"Member of the army.","Member of the army.","Author"
"Norton, John, b. 1662.","Norton, John, b. 1662.","Author"
"Nalton, James.","Nalton, James.","Author"
"Pennecuik, Alexander, 1652-1722.","Pennecuik, Alexander, 1652-1722.","Author"
"Perthshire (Scotland). Justices of the Peace","Perthshire (Scotland). Justices of the Peace","Source"
"Powle, Henry, 1630-1692.","Powle, Henry, 1630-1692.","Author"
"Parker, Martin, fl. 1674","Parker, Martin, fl. 1674","Author"
"Paul, James, fl. 1700.","Paul, James, fl. 1700.","Author"
"Ragg, Isaac.","Ragg, Isaac.","Author"
"Robins, Thomas, fl. 1672-1685.","Robins, Thomas, fl. 1672-1685.","Author"
"J. R.","J. R.","Author"
"J. R. fl. 1665.","J. R. fl. 1665.","Author"
"Gibson, Alexander, Sir, d. 1693.","Gibson, Alexander, Sir, d. 1693.","Author"
"Eliot, Gilbert, Sir, 1651-1718.","Eliot, Gilbert, Sir, 1651-1718.","Author"
"Scotland. Privy Council","Scotland. Privy Council","Source"
"Scotland Privy Council.","Scotland Privy Council.","Author"
"Stevens, Minister.","Stevens, Minister.","Author"
"Scotland. Committee of the West.","Scotland. Committee of the West.","Author"
"Corporation of London. Court of Common Council.","Corporation of London. Court of Common Council.","Author"
"Glasgow (Scotland). City Council.","Glasgow (Scotland). City Council.","Author"
"Norwich (England). Common Council.","Norwich (England). Common Council.","Author"
"Hepburn, George.","Hepburn, George.","Author"
"Pitcairn, Archibald, 1652-1713.","Pitcairn, Archibald, 1652-1713.","Author"
"Tompion, Thomas, 1639-1713.","Tompion, Thomas, 1639-1713.","Author"
"Tolson, John, 1575 or 6-1644.","Tolson, John, 1575 or 6-1644.","Author"
"Turner, John, prisoner of our Lord Jesus Christ.","Turner, John, prisoner of our Lord Jesus Christ.","Author"
"Tweeddale, Charles Hay, Marquis of, 1667-1715.","Tweeddale, Charles Hay, Marquis of, 1667-1715.","Author"
"Wenlock, John.","Wenlock, John.","Author"
"Wildoe, Nathaniel.","Wildoe, Nathaniel.","Author"
"Melville, George Melville, Earl of, 1634?","Melville, George Melville, Earl of, 1634?","Author"
"Willson, John fl. 1700.","Willson, John fl. 1700.","Author"
"Winter, Salvator.","Winter, Salvator.","Author"
"Wiseman, Samuel.","Wiseman, Samuel.","Author"
"Wolseley, William, 1640?","Wolseley, William, 1640?","Author"
"Y. Z.","Y. Z.","Author"
"Law, Thomas, bellman.","Law, Thomas, bellman.","Author"
"Hinde, Thomas, fl. 1673.","Hinde, Thomas, fl. 1673.","Author"
"Little, Richard, fl. 1645-1646, editor.","Little, Richard, fl. 1645-1646, editor.","Author"
"Swadlin, Thomas, 1600-1670, editor.","Swadlin, Thomas, 1600-1670, editor.","Author"
"Jones, Henry, 1721-1770.","Jones, Henry, 1721-1770.","Author"
"Cumberland, Richard, 1732-1811.","Cumberland, Richard, 1732-1811.","Author"
"Duck, Stephen, 1705-1756.","Duck, Stephen, 1705-1756.","Author"
"Cadogan, William, 1711-1797.","Cadogan, William, 1711-1797.","Author"
"Alderson, John, 1757-1829.","Alderson, John, 1757-1829.","Author"
"Hill, John, 1714?","Hill, John, 1714?","Author"
"Kelly, Hugh.","Kelly, Hugh.","Author"
"Carleton, George, fl. 1728.","Carleton, George, fl. 1728.","Author"
"Parnell, Thomas, 1679-1718.","Parnell, Thomas, 1679-1718.","Author"
"Hill, Aaron, 1685-1750.","Hill, Aaron, 1685-1750.","Author"
"Fielding, Henry, 1707-1754.","Fielding, Henry, 1707-1754.","Author"
"Gentleman, Francis, 1728-1784.","Gentleman, Francis, 1728-1784.","Author"
"Fordyce, George, 1736-1802.","Fordyce, George, 1736-1802.","Author"
"Savage, Richard, d. 1743.","Savage, Richard, d. 1743.","Author"
"Morley, John, d. 1776.","Morley, John, d. 1776.","Author"
"Pope, Alexander, 1688-1744.","Pope, Alexander, 1688-1744.","Author"
"Paine, Thomas, 1737-1809.","Paine, Thomas, 1737-1809.","Author"
"Churchill, Charles, 1731-1764.","Churchill, Charles, 1731-1764.","Author"
"Kemble, John Philip, 1757-1823.","Kemble, John Philip, 1757-1823.","Author"
"Pott, Percivall, 1714-1788.","Pott, Percivall, 1714-1788.","Author"
