"","ID","Role"
"Featley, Daniel, 1582-1645.","Featley, Daniel, 1582-1645.","Author"
"Bagshaw, Christopher, d. 1625?","Bagshaw, Christopher, d. 1625?","Author"
"Smith, Richard, 1566-1655.","Smith, Richard, 1566-1655.","Author"
"Federici, Cesare.","Federici, Cesare.","Author"
"Hickock, Thomas.","Hickock, Thomas.","Author"
"Felice, Costanzo.","Felice, Costanzo.","Author"
"Barclay, Alexander, 1475?","Barclay, Alexander, 1475?","Author"
"Sallust, 86-34 B.C. Bellum Jugurthinum. English. aut","Sallust, 86-34 B.C. Bellum Jugurthinum. English. aut","Author"
"Filippe, Bartholomeu.","Filippe, Bartholomeu.","Author"
"Thorie, John, b. 1568.","Thorie, John, b. 1568.","Author"
"Felltham, Owen, 1602?","Felltham, Owen, 1602?","Author"
"Felton, John, 1595?","Felton, John, 1595?","Author"
"Fenne, Thomas.","Fenne, Thomas.","Author"
"Udall, John, 1560?","Udall, John, 1560?","Author"
"Fennor, William.","Fennor, William.","Author"
"Fenton, Edward.","Fenton, Edward.","Author"
"Fenton, Geoffrey, Sir, 1539?","Fenton, Geoffrey, Sir, 1539?","Author"
"Guevara, Antonio de, Bp., d. 1545?","Guevara, Antonio de, Bp., d. 1545?","Author"
"Pasquier, Etienne, 1529-1615.","Pasquier, Etienne, 1529-1615.","Author"
"I. F.","I. F.","Author"
"Fenton, Roger, 1565-1616.","Fenton, Roger, 1565-1616.","Author"
"Alabaster, William, 1567-1640.","Alabaster, William, 1567-1640.","Author"
"Ferdinand I, Holy Roman Emperor, 1503-1564.","Ferdinand I, Holy Roman Emperor, 1503-1564.","Author"
"French Gent.","French Gent.","Author"
"Fergusson, David, d. 1598.","Fergusson, David, d. 1598.","Author"
"Benoit, René, 1521-1608.","Benoit, René, 1521-1608.","Author"
"Winzet, Ninian, 1518-1592.","Winzet, Ninian, 1518-1592.","Author"
"Babington, Gervase, 1550-1610.","Babington, Gervase, 1550-1610.","Author"
"Enciso, Martin Fernández de, d. 1525.","Enciso, Martin Fernández de, d. 1525.","Author"
"Ferrabosco, Alfonso, ca. 1575-1628.","Ferrabosco, Alfonso, ca. 1575-1628.","Author"
"Ferrand, Jacques, médecin.","Ferrand, Jacques, médecin.","Author"
"Chilmead, Edmund, 1610-1654.","Chilmead, Edmund, 1610-1654.","Author"
"Ferrarius, Johannes, 1485 or 6-1558.","Ferrarius, Johannes, 1485 or 6-1558.","Author"
"Bavand, William.","Bavand, William.","Author"
"Ferrers, Richard.","Ferrers, Richard.","Author"
"Ferrier, Auger, 1513-1588.","Ferrier, Auger, 1513-1588.","Author"
"Kelway, Thomas.","Kelway, Thomas.","Author"
"Ferris, Richard, fl. 1590.","Ferris, Richard, fl. 1590.","Author"
"Sargent, James.","Sargent, James.","Author"
"Fetherston, Christopher.","Fetherston, Christopher.","Author"
"Feylde, Thomas.","Feylde, Thomas.","Author"
"Worde, Wynkyn de, d. 1534?","Worde, Wynkyn de, d. 1534?","Author"
"Feynes, Henri de.","Feynes, Henri de.","Author"
"Loiseau de Tourval, Jean.","Loiseau de Tourval, Jean.","Author"
"Fidelitas.","Fidelitas.","Author"
"Vitell, Christopher, fl. 1555-1579.","Vitell, Christopher, fl. 1555-1579.","Author"
"Niclaes, Hendrik, 1502?","Niclaes, Hendrik, 1502?","Author"
"Fielde, John, d. 1588.","Fielde, John, d. 1588.","Author"
"Gwalther, Rudolf, 1519-1586.","Gwalther, Rudolf, 1519-1586.","Author"
"Bèze, Théodore de, 1519-1605.","Bèze, Théodore de, 1519-1605.","Author"
"T. W. (Thomas Wilcox), 1549?","T. W. (Thomas Wilcox), 1549?","Author"
"Field, Nathan, 1587-1620?","Field, Nathan, 1587-1620?","Author"
"Field, Richard, 1561-1616.","Field, Richard, 1561-1616.","Author"
"Field, Nathaniel, 1598 or 9-1666.","Field, Nathaniel, 1598 or 9-1666.","Author"
"Figueiro, Vasco, gentleman of Portingale.","Figueiro, Vasco, gentleman of Portingale.","Author"
"H. O., fl. 1592.","H. O., fl. 1592.","Author"
"Finch, Mr.","Finch, Mr.","Author"
"Finch, Henry, Sir, d. 1625.","Finch, Henry, Sir, d. 1625.","Author"
"Gouge, William, 1578-1653.","Gouge, William, 1578-1653.","Author"
"Finch, Richard, minister of East Ham.","Finch, Richard, minister of East Ham.","Author"
"Fine, Oronce, 1494-1555.","Fine, Oronce, 1494-1555.","Author"
"Baker, Humfrey, fl. 1557-1587.","Baker, Humfrey, fl. 1557-1587.","Author"
"Fioravanti, Leonardo, 1518-1588.","Fioravanti, Leonardo, 1518-1588.","Author"
"Hester, John, d. 1593.","Hester, John, d. 1593.","Author"
"Fish, Simon, d. 1531.","Fish, Simon, d. 1531.","Author"
"Crowley, Robert, 1518?","Crowley, Robert, 1518?","Author"
